Calendario Conference League,,,,,,,,,,,,
https://leghe.fantacalcio.it/fantamanager-2021,,,,,,,,,,,,
,,,,,,,,,,,,
Fase a Gironi,,,,,,,,,,,,
1ª Giornata lega,,,26ª Giornata serie a,,,,2ª Giornata lega,,,27ª Giornata serie a,,
A,Nottingham Forest,0,0,Borussia Mgladbach,-,,A,Reggina Calcio 1914,0,0,Nottingham Forest,-
A,Atletico Madrid,0,0,Reggina Calcio 1914,-,,A,Borussia Mgladbach,0,0,Atletico Madrid,-
B,Siviglia,0,0,Friburgo,-,,B,Everton,0,0,Siviglia,-
B,real betis balompie,0,0,Everton,-,,B,Friburgo,0,0,real betis balompie,-
3ª Giornata lega,,,28ª Giornata serie a,,,,4ª Giornata lega,,,29ª Giornata serie a,,
A,Reggina Calcio 1914,0,0,Borussia Mgladbach,-,,A,Borussia Mgladbach,0,0,Nottingham Forest,-
A,Atletico Madrid,0,0,Nottingham Forest,-,,A,Reggina Calcio 1914,0,0,Atletico Madrid,-
B,Everton,0,0,Friburgo,-,,B,Friburgo,0,0,Siviglia,-
B,real betis balompie,0,0,Siviglia,-,,B,Everton,0,0,real betis balompie,-
5ª Giornata lega,,,30ª Giornata serie a,,,,6ª Giornata lega,,,31ª Giornata serie a,,
A,Nottingham Forest,0,0,Reggina Calcio 1914,-,,A,Borussia Mgladbach,0,0,Reggina Calcio 1914,-
A,Atletico Madrid,0,0,Borussia Mgladbach,-,,A,Nottingham Forest,0,0,Atletico Madrid,-
B,Siviglia,0,0,Everton,-,,B,Friburgo,0,0,Everton,-
B,real betis balompie,0,0,Friburgo,-,,B,Siviglia,0,0,real betis balompie,-
