Fase a Gironi,,,,,,,,,,,,
1ª Giornata lega,,,20ª Giornata serie a,,,,2ª Giornata lega,,,21ª Giornata serie a,,
A,Hoffenheim,0,0,real betis balompie,-,,A,Inter,0,0,Hoffenheim,-
A,Nottingham Forest,0,0,Inter,-,,A,real betis balompie,0,0,Nottingham Forest,-
B,Atletico Madrid,0,0,West Ham United,-,,B,Friburgo,0,0,Atletico Madrid,-
B,Wolfsburg,0,0,Friburgo,-,,B,West Ham United,0,0,Wolfsburg,-
C,Deportivo La Coruna,0,0,Borussia Mgladbach,-,,C,Siviglia,0,0,Deportivo La Coruna,-
C,Bayern Monaco,0,0,Siviglia,-,,C,Borussia Mgladbach,0,0,Bayern Monaco,-
D,Valencia,0,0,Reggina Calcio 1914,-,,D,Everton,0,0,Valencia,-
D,Leicester City Football Club,0,0,Everton,-,,D,Reggina Calcio 1914,0,0,Leicester City Football Club,-
3ª Giornata lega,,,22ª Giornata serie a,,,,4ª Giornata lega,,,23ª Giornata serie a,,
A,Inter,0,0,real betis balompie,-,,A,real betis balompie,0,0,Hoffenheim,-
A,Nottingham Forest,0,0,Hoffenheim,-,,A,Inter,0,0,Nottingham Forest,-
B,Friburgo,0,0,West Ham United,-,,B,West Ham United,0,0,Atletico Madrid,-
B,Wolfsburg,0,0,Atletico Madrid,-,,B,Friburgo,0,0,Wolfsburg,-
C,Siviglia,0,0,Borussia Mgladbach,-,,C,Borussia Mgladbach,0,0,Deportivo La Coruna,-
C,Bayern Monaco,0,0,Deportivo La Coruna,-,,C,Siviglia,0,0,Bayern Monaco,-
D,Everton,0,0,Reggina Calcio 1914,-,,D,Reggina Calcio 1914,0,0,Valencia,-
D,Leicester City Football Club,0,0,Valencia,-,,D,Everton,0,0,Leicester City Football Club,-
5ª Giornata lega,,,24ª Giornata serie a,,,,6ª Giornata lega,,,25ª Giornata serie a,,
A,Hoffenheim,0,0,Inter,-,,A,real betis balompie,0,0,Inter,-
A,Nottingham Forest,0,0,real betis balompie,-,,A,Hoffenheim,0,0,Nottingham Forest,-
B,Atletico Madrid,0,0,Friburgo,-,,B,West Ham United,0,0,Friburgo,-
B,Wolfsburg,0,0,West Ham United,-,,B,Atletico Madrid,0,0,Wolfsburg,-
C,Deportivo La Coruna,0,0,Siviglia,-,,C,Borussia Mgladbach,0,0,Siviglia,-
C,Bayern Monaco,0,0,Borussia Mgladbach,-,,C,Deportivo La Coruna,0,0,Bayern Monaco,-
D,Valencia,0,0,Everton,-,,D,Reggina Calcio 1914,0,0,Everton,-
D,Leicester City Football Club,0,0,Reggina Calcio 1914,-,,D,Valencia,0,0,Leicester City Football Club,-
